Order ID,Customer Name,Category,Sub Category,City,Order Date,Region,Sales,Discount,Profit,Store State
OD31,Ramesh,Beverages,Soft Drinks,Dharmapuri,17-09-2016,South,"? 1,845.00",24.00%,? 166.05,Tamil Nadu
OD32,Mathew,Snacks,Noodles,Vellore,17-09-2016,South,"? 1,400.00",11.00%,? 420.00,Tamil Nadu
OD33,Akash,Oil & Masala,Edible Oil & Ghee,Trichy,17-09-2016,South,"? 2,163.00",26.00%,? 670.53,Tamil Nadu
OD34,Anu,Oil & Masala,Masalas,Madurai,17-09-2016,South,"? 1,689.00",34.00%,? 337.80,Tamil Nadu
OD35,Anu,Beverages,Health Drinks,Vellore,19-10-2018,South,? 809.00,32.00%,? 80.90,Tamil Nadu
OD36,Sabeela,"Eggs, Meat & Fish",Eggs,Tirunelveli,08-12-2017,South,"? 1,265.00",22.00%,? 569.25,Tamil Nadu
OD37,James,Beverages,Soft Drinks,Salem,08-12-2017,South,? 934.00,35.00%,? 56.04,Tamil Nadu
OD38,Willams,Fruits & Veggies,Organic Vegetables,Ramanadhapuram,27-12-2016,South,"? 1,354.00",16.00%,? 446.82,Tamil Nadu
OD39,Jonas,Fruits & Veggies,Fresh Fruits,Chennai,27-12-2016,South,"? 1,751.00",19.00%,? 280.16,Tamil Nadu
OD40,Sabeela,"Eggs, Meat & Fish",Chicken,Cumbum,27-12-2016,South,"? 2,045.00",23.00%,? 879.35,Tamil Nadu
OD41,Malik,Beverages,Health Drinks,Namakkal,27-12-2016,South,? 660.00,19.00%,? 92.40,Tamil Nadu
OD42,Arutra,Beverages,Soft Drinks,Salem,10-09-2018,South,"? 1,868.00",18.00%,? 616.44,Tamil Nadu
OD43,Sharon,Snacks,Cookies,Bodi,17-07-2017,South,"? 1,017.00",25.00%,? 345.78,Tamil Nadu
OD44,Mathew,Snacks,Cookies,Dharmapuri,19-09-2018,South,"? 2,311.00",20.00%,"? 1,039.95",Tamil Nadu
OD45,Amrish,Bakery,Biscuits,Krishnagiri,11-03-2017,South,"? 1,663.00",17.00%,? 731.72,Tamil Nadu
OD46,Vince,"Eggs, Meat & Fish",Eggs,Madurai,11-03-2017,South,"? 1,420.00",19.00%,? 355.00,Tamil Nadu
OD47,Suresh,Fruits & Veggies,Organic Vegetables,Nagercoil,20-10-2015,South,"? 1,415.00",31.00%,? 509.40,Tamil Nadu
OD48,Mathew,Snacks,Noodles,Chennai,20-06-2017,South,"? 1,488.00",30.00%,? 610.08,Tamil Nadu
OD49,Ridhesh,Snacks,Noodles,Pudukottai,20-06-2017,South,? 726.00,18.00%,? 43.56,Tamil Nadu
OD50,Amrish,Bakery,Cakes,Ooty,18-04-2016,South,"? 1,259.00",15.00%,? 415.47,Tamil Nadu
OD51,Esther,Beverages,Soft Drinks,Salem,18-04-2016,South,? 902.00,29.00%,? 153.34,Tamil Nadu
OD52,Shah,Beverages,Soft Drinks,Salem,18-04-2016,South,"? 2,306.00",30.00%,? 553.44,Tamil Nadu
OD53,Sudha,Bakery,Cakes,Theni,18-04-2016,South,"? 1,417.00",19.00%,? 99.19,Tamil Nadu
OD54,Yusuf,Fruits & Veggies,Fresh Vegetables,Madurai,11-12-2017,South,? 627.00,33.00%,? 181.83,Tamil Nadu
OD55,Esther,Fruits & Veggies,Organic Fruits,Nagercoil,11-12-2017,South,? 760.00,28.00%,? 60.80,Tamil Nadu
OD56,Muneer,Food Grains,Atta & Flour,Salem,17-06-2017,South,"? 2,350.00",15.00%,? 611.00,Tamil Nadu
OD57,Komal,"Eggs, Meat & Fish",Fish,Krishnagiri,17-06-2017,South,"? 1,179.00",34.00%,? 271.17,Tamil Nadu
OD58,Veena,Food Grains,Dals & Pulses,Trichy,17-06-2017,South,"? 1,624.00",35.00%,? 194.88,Tamil Nadu
OD59,Sharon,"Eggs, Meat & Fish",Mutton,Trichy,17-06-2017,South,"? 1,316.00",35.00%,? 421.12,Tamil Nadu
OD60,Shree,Beverages,Health Drinks,Coimbatore,17-06-2017,South,"? 2,121.00",12.00%,? 678.72,Tamil Nadu
OD61,Roshan,Oil & Masala,Masalas,Virudhunagar,17-06-2017,South,"? 1,428.00",28.00%,? 271.32,Tamil Nadu
OD62,Willams,Snacks,Noodles,Perambalur,17-06-2017,South,? 706.00,33.00%,? 289.46,Tamil Nadu
OD63,Sudeep,"Eggs, Meat & Fish",Fish,Dharmapuri,24-11-2016,South,? 921.00,25.00%,? 184.20,Tamil Nadu
OD64,Yusuf,Fruits & Veggies,Fresh Fruits,Trichy,24-11-2016,South,"? 1,741.00",31.00%,? 661.58,Tamil Nadu
OD65,Willams,"Eggs, Meat & Fish",Eggs,Madurai,24-11-2016,South,? 607.00,22.00%,? 200.31,Tamil Nadu
OD66,Muneer,"Eggs, Meat & Fish",Mutton,Tirunelveli,24-11-2016,South,"? 1,824.00",25.00%,? 766.08,Tamil Nadu
OD67,Vinne,Food Grains,Atta & Flour,Madurai,30-04-2016,South,"? 1,368.00",11.00%,? 383.04,Tamil Nadu
OD68,Roshan,Fruits & Veggies,Fresh Vegetables,Pudukottai,05-12-2015,South,"? 1,160.00",16.00%,? 510.40,Tamil Nadu
OD69,Ramesh,Food Grains,Atta & Flour,Viluppuram,05-12-2015,South,"? 1,294.00",23.00%,? 77.64,Tamil Nadu
OD70,Peer,Oil & Masala,Masalas,Ooty,04-06-2017,South,"? 1,232.00",14.00%,? 554.40,Tamil Nadu
OD71,Verma,"Eggs, Meat & Fish",Mutton,Kanyakumari,18-09-2017,South,? 994.00,31.00%,? 357.84,Tamil Nadu
OD72,Yusuf,Snacks,Noodles,Kanyakumari,14-09-2018,South,"? 2,468.00",18.00%,"? 1,011.88",Tamil Nadu
OD73,Alan,Snacks,Cookies,Theni,26-04-2016,South,? 721.00,27.00%,? 100.94,Tamil Nadu
OD74,Vidya,Fruits & Veggies,Organic Vegetables,Vellore,26-04-2016,South,"? 2,375.00",21.00%,? 475.00,Tamil Nadu
OD75,Arvind,Beverages,Soft Drinks,Vellore,26-04-2016,South,"? 1,965.00",13.00%,? 117.90,Tamil Nadu
OD76,Veronica,Beverages,Soft Drinks,Bodi,09-12-2018,South,"? 1,489.00",12.00%,? 193.57,Tamil Nadu
OD77,Arvind,Fruits & Veggies,Organic Fruits,Ooty,09-12-2018,South,"? 1,250.00",27.00%,? 75.00,Tamil Nadu
OD78,Anu,Snacks,Noodles,Coimbatore,09-12-2018,South,"? 1,358.00",31.00%,? 488.88,Tamil Nadu
OD79,Haseena,Snacks,Cookies,Vellore,26-11-2015,South,? 719.00,20.00%,? 64.71,Tamil Nadu
OD80,Veena,Fruits & Veggies,Organic Fruits,Chennai,12-06-2017,South,"? 2,303.00",26.00%,? 621.81,Tamil Nadu
OD81,Kumar,Beverages,Health Drinks,Kanyakumari,12-06-2017,South,"? 2,027.00",34.00%,? 912.15,Tamil Nadu
OD82,Amy,Food Grains,Atta & Flour,Bodi,12-10-2015,South,"? 1,739.00",29.00%,? 765.16,Tamil Nadu
OD83,Komal,Oil & Masala,Spices,Cumbum,12-10-2015,South,? 990.00,26.00%,? 227.70,Tamil Nadu
OD84,Ravi,Beverages,Soft Drinks,Dharmapuri,03-09-2016,South,"? 2,354.00",11.00%,? 682.66,Tamil Nadu
OD85,Amy,Fruits & Veggies,Organic Fruits,Bodi,13-11-2018,South,"? 1,044.00",10.00%,? 344.52,Tamil Nadu
OD86,Willams,Oil & Masala,Spices,Dindigul,28-05-2018,South,"? 2,129.00",25.00%,? 659.99,Tamil Nadu
OD87,Sharon,Food Grains,Rice,Theni,26-10-2018,South,"? 1,759.00",10.00%,? 615.65,Tamil Nadu
OD88,Ramesh,"Eggs, Meat & Fish",Eggs,Viluppuram,26-10-2018,South,"? 1,663.00",26.00%,? 665.20,Tamil Nadu
OD89,Sheeba,Bakery,Breads & Buns,Perambalur,05-04-2017,South,"? 2,111.00",21.00%,? 189.99,Tamil Nadu
OD90,Krithika,Food Grains,Dals & Pulses,Madurai,17-09-2017,South,"? 1,878.00",12.00%,? 450.72,Tamil Nadu
OD91,Willams,"Eggs, Meat & Fish",Chicken,Ooty,17-09-2017,South,? 769.00,34.00%,? 46.14,Tamil Nadu
OD92,Roshan,Beverages,Health Drinks,Virudhunagar,17-09-2017,South,"? 1,241.00",14.00%,? 409.53,Tamil Nadu
OD93,Ravi,Food Grains,Atta & Flour,Madurai,31-01-2016,South,"? 2,128.00",14.00%,? 383.04,Tamil Nadu
OD94,Ram,Fruits & Veggies,Fresh Fruits,Namakkal,31-01-2016,South,"? 2,257.00",33.00%,? 270.84,Tamil Nadu
OD95,Mathew,Snacks,Chocolates,Bodi,31-01-2016,South,"? 1,285.00",28.00%,? 218.45,Tamil Nadu
OD96,Veena,"Eggs, Meat & Fish",Fish,Virudhunagar,06-11-2018,South,"? 1,230.00",13.00%,? 442.80,Tamil Nadu
OD97,Sudha,Food Grains,Atta & Flour,Ooty,09-11-2018,South,"? 1,856.00",21.00%,? 723.84,Tamil Nadu
OD98,Sharon,Fruits & Veggies,Fresh Fruits,Trichy,17-06-2018,South,? 545.00,31.00%,? 125.35,Tamil Nadu
OD99,Vince,Snacks,Chocolates,Dharmapuri,06-09-2017,South,"? 2,301.00",28.00%,? 391.17,Tamil Nadu
OD100,Krithika,Oil & Masala,Spices,Chennai,29-08-2017,South,"? 1,475.00",26.00%,? 531.00,Tamil Nadu
OD101,Adavan,Bakery,Cakes,Coimbatore,29-08-2017,South,"? 2,118.00",35.00%,? 910.74,Tamil Nadu
OD102,Roshan,Beverages,Soft Drinks,Coimbatore,29-08-2017,South,"? 1,527.00",17.00%,? 671.88,Tamil Nadu
OD103,Vinne,Snacks,Chocolates,Nagercoil,01-12-2017,South,? 567.00,18.00%,? 175.77,Tamil Nadu
OD104,Amy,Fruits & Veggies,Fresh Fruits,Ramanadhapuram,13-11-2016,South,? 969.00,27.00%,? 184.11,Tamil Nadu
OD105,Suresh,Food Grains,Dals & Pulses,Karur,13-11-2016,South,"? 2,300.00",14.00%,"? 1,035.00",Tamil Nadu
OD106,Komal,Oil & Masala,Masalas,Kanyakumari,13-11-2016,South,"? 1,575.00",33.00%,? 78.75,Tamil Nadu
OD107,Sundar,Beverages,Health Drinks,Cumbum,23-11-2018,South,? 540.00,12.00%,? 108.00,Tamil Nadu
OD108,Willams,Snacks,Cookies,Tirunelveli,23-11-2018,South,? 536.00,34.00%,? 176.88,Tamil Nadu
OD109,Vidya,"Eggs, Meat & Fish",Eggs,Tirunelveli,23-11-2018,South,? 556.00,21.00%,? 155.68,Tamil Nadu
OD110,Shree,Fruits & Veggies,Fresh Fruits,Coimbatore,15-10-2016,South,"? 1,179.00",16.00%,? 271.17,Tamil Nadu
OD111,Sundar,Food Grains,Dals & Pulses,Namakkal,25-12-2018,South,"? 1,487.00",12.00%,? 505.58,Tamil Nadu
OD112,Arvind,Bakery,Breads & Buns,Pudukottai,03-11-2017,South,"? 2,220.00",10.00%,? 111.00,Tamil Nadu
OD113,Ravi,Oil & Masala,Edible Oil & Ghee,Dindigul,03-11-2017,South,"? 2,155.00",30.00%,? 581.85,Tamil Nadu
OD114,Vinne,Fruits & Veggies,Fresh Vegetables,Krishnagiri,25-08-2015,South,"? 1,154.00",10.00%,? 69.24,Tamil Nadu
OD115,Muneer,Snacks,Noodles,Salem,25-08-2015,South,"? 2,420.00",11.00%,? 242.00,Tamil Nadu
OD116,Rumaiza,Snacks,Chocolates,Karur,25-08-2015,South,"? 1,305.00",24.00%,? 287.10,Tamil Nadu
OD117,Hussain,Fruits & Veggies,Organic Fruits,Bodi,25-08-2015,South,? 927.00,20.00%,? 157.59,Tamil Nadu
OD118,Arvind,Fruits & Veggies,Organic Vegetables,Viluppuram,02-03-2016,South,? 983.00,11.00%,? 186.77,Tamil Nadu
OD119,Akash,Food Grains,Rice,Chennai,05-04-2016,South,? 903.00,10.00%,? 90.30,Tamil Nadu
OD120,Ganesh,"Eggs, Meat & Fish",Chicken,Cumbum,12-06-2017,South,"? 1,235.00",12.00%,? 74.10,Tamil Nadu
OD121,Alan,Fruits & Veggies,Organic Vegetables,Tirunelveli,12-06-2017,South,"? 1,243.00",24.00%,? 174.02,Tamil Nadu
OD122,Harish,Bakery,Cakes,Krishnagiri,12-06-2017,South,? 649.00,34.00%,? 201.19,Tamil Nadu
OD123,Veronica,"Eggs, Meat & Fish",Mutton,Tenkasi,12-06-2017,South,"? 2,354.00",11.00%,? 188.32,Tamil Nadu
OD124,Anu,Beverages,Soft Drinks,Cumbum,12-06-2017,South,"? 1,443.00",27.00%,? 187.59,Tamil Nadu
OD125,Sudeep,Bakery,Breads & Buns,Madurai,26-12-2015,South,? 975.00,26.00%,? 390.00,Tamil Nadu
OD126,Yusuf,Fruits & Veggies,Organic Vegetables,Virudhunagar,20-09-2015,South,? 889.00,19.00%,? 71.12,Tamil Nadu
OD127,Shah,"Eggs, Meat & Fish",Mutton,Karur,05-11-2018,South,"? 2,352.00",17.00%,? 870.24,Tamil Nadu
OD128,Harish,Oil & Masala,Spices,Tirunelveli,05-11-2018,South,"? 1,293.00",23.00%,? 336.18,Tamil Nadu
OD129,Sharon,Food Grains,Rice,Bodi,06-11-2017,South,"? 1,458.00",29.00%,? 597.78,Tamil Nadu
OD130,Peer,Food Grains,Atta & Flour,Coimbatore,06-11-2017,South,"? 1,801.00",22.00%,? 126.07,Tamil Nadu
OD131,Haseena,Snacks,Chocolates,Tenkasi,02-02-2018,South,"? 1,261.00",29.00%,? 416.13,Tamil Nadu
OD132,Sundar,Beverages,Soft Drinks,Nagercoil,02-02-2018,South,"? 2,112.00",28.00%,? 105.60,Tamil Nadu
OD133,Ram,"Eggs, Meat & Fish",Fish,Ramanadhapuram,02-02-2018,South,? 640.00,24.00%,? 140.80,Tamil Nadu
OD134,Shah,Bakery,Cakes,Tenkasi,13-10-2017,South,"? 1,658.00",12.00%,? 315.02,Tamil Nadu
OD135,Harish,Beverages,Health Drinks,Ramanadhapuram,13-10-2017,South,"? 2,373.00",18.00%,? 664.44,Tamil Nadu
OD136,Veena,Fruits & Veggies,Organic Fruits,Cumbum,13-10-2017,South,"? 1,430.00",19.00%,? 514.80,Tamil Nadu
OD137,Sundar,Oil & Masala,Spices,Viluppuram,13-10-2017,South,"? 1,873.00",30.00%,? 674.28,Tamil Nadu
OD138,Jackson,"Eggs, Meat & Fish",Eggs,Theni,13-10-2017,South,? 867.00,14.00%,? 329.46,Tamil Nadu
OD139,Malik,Snacks,Noodles,Theni,13-10-2017,South,"? 1,101.00",19.00%,? 484.44,Tamil Nadu
OD140,Hussain,"Eggs, Meat & Fish",Mutton,Ooty,13-10-2017,South,"? 1,088.00",28.00%,? 424.32,Tamil Nadu
OD141,Veena,Bakery,Biscuits,Perambalur,05-09-2017,South,? 866.00,32.00%,? 381.04,Tamil Nadu
OD142,Aditi,Oil & Masala,Masalas,Tirunelveli,18-09-2018,South,"? 2,483.00",14.00%,? 223.47,Tamil Nadu
OD143,Surya,Food Grains,Atta & Flour,Kanyakumari,18-09-2018,South,"? 1,335.00",11.00%,? 293.70,Tamil Nadu
OD144,Sharon,"Eggs, Meat & Fish",Fish,Tenkasi,18-09-2018,South,? 765.00,24.00%,? 252.45,Tamil Nadu
OD145,Vinne,"Eggs, Meat & Fish",Mutton,Tenkasi,22-12-2018,South,"? 2,403.00",20.00%,? 624.78,Tamil Nadu
OD146,Malik,Oil & Masala,Edible Oil & Ghee,Coimbatore,07-09-2016,South,"? 1,551.00",13.00%,? 573.87,Tamil Nadu
OD147,Ridhesh,Food Grains,Organic Staples,Theni,22-10-2015,South,"? 1,564.00",27.00%,? 187.68,Tamil Nadu
OD148,Harish,Fruits & Veggies,Fresh Vegetables,Tirunelveli,05-12-2017,South,"? 1,125.00",33.00%,? 292.50,Tamil Nadu
OD149,Veronica,Beverages,Health Drinks,Tenkasi,05-12-2017,South,? 768.00,10.00%,? 184.32,Tamil Nadu
OD150,Ravi,"Eggs, Meat & Fish",Fish,Vellore,05-12-2017,South,"? 1,985.00",26.00%,? 734.45,Tamil Nadu
OD151,Muneer,Food Grains,Rice,Bodi,05-12-2017,South,"? 2,287.00",13.00%,"? 1,029.15",Tamil Nadu
OD152,Jackson,Snacks,Chocolates,Pudukottai,13-03-2017,South,"? 1,016.00",34.00%,? 335.28,Tamil Nadu
OD153,Amy,Snacks,Cookies,Namakkal,13-03-2017,South,? 852.00,26.00%,? 76.68,Tamil Nadu
OD154,Ram,Food Grains,Organic Staples,Ramanadhapuram,31-05-2016,South,"? 1,233.00",28.00%,? 234.27,Tamil Nadu
OD155,Jonas,Snacks,Noodles,Pudukottai,31-05-2016,South,"? 2,236.00",14.00%,? 626.08,Tamil Nadu
OD156,Ramesh,Fruits & Veggies,Fresh Vegetables,Viluppuram,31-05-2016,South,"? 2,188.00",32.00%,? 809.56,Tamil Nadu
OD157,Peer,Snacks,Cookies,Coimbatore,28-05-2016,South,"? 1,114.00",20.00%,? 456.74,Tamil Nadu
OD158,Komal,Oil & Masala,Edible Oil & Ghee,Salem,01-03-2015,South,"? 1,774.00",15.00%,? 620.90,Tamil Nadu
OD159,Amy,Beverages,Soft Drinks,Karur,20-11-2017,South,"? 2,364.00",21.00%,"? 1,040.16",Tamil Nadu
OD160,Amrish,Food Grains,Dals & Pulses,Madurai,20-11-2017,South,"? 1,487.00",11.00%,? 148.70,Tamil Nadu
OD161,Yadav,Beverages,Soft Drinks,Ooty,11-05-2017,South,? 713.00,30.00%,? 192.51,Tamil Nadu
OD162,Vinne,"Eggs, Meat & Fish",Fish,Kanyakumari,28-12-2016,South,? 737.00,20.00%,? 280.06,Tamil Nadu
OD163,Amrish,Snacks,Chocolates,Trichy,16-11-2017,South,"? 1,004.00",26.00%,? 341.36,Tamil Nadu
OD164,Hussain,Snacks,Cookies,Theni,07-11-2017,South,"? 1,516.00",32.00%,? 121.28,Tamil Nadu
OD165,Haseena,Food Grains,Atta & Flour,Ramanadhapuram,08-09-2015,South,"? 1,442.00",28.00%,? 605.64,Tamil Nadu
OD166,Sudha,Beverages,Health Drinks,Madurai,08-09-2015,South,"? 1,690.00",33.00%,? 422.50,Tamil Nadu
OD167,Adavan,Snacks,Chocolates,Bodi,08-09-2015,South,"? 2,021.00",13.00%,? 343.57,Tamil Nadu
OD168,Aditi,"Eggs, Meat & Fish",Mutton,Ooty,08-09-2015,South,"? 2,340.00",25.00%,? 491.40,Tamil Nadu
OD169,Krithika,Oil & Masala,Spices,Viluppuram,08-09-2015,South,? 705.00,15.00%,? 176.25,Tamil Nadu
OD170,Sharon,"Eggs, Meat & Fish",Chicken,Trichy,08-09-2015,South,"? 1,215.00",20.00%,? 60.75,Tamil Nadu
OD171,Akash,Food Grains,Dals & Pulses,Krishnagiri,08-09-2015,South,? 552.00,25.00%,? 237.36,Tamil Nadu
OD172,Sabeela,Beverages,Health Drinks,Tirunelveli,05-08-2015,South,"? 1,412.00",11.00%,? 564.80,Tamil Nadu
OD173,Surya,Food Grains,Dals & Pulses,Tirunelveli,05-08-2015,South,? 791.00,32.00%,? 150.29,Tamil Nadu
OD174,Alan,Fruits & Veggies,Organic Vegetables,Viluppuram,05-08-2015,South,"? 2,476.00",33.00%,? 420.92,Tamil Nadu
OD175,Aditi,Fruits & Veggies,Fresh Vegetables,Karur,14-09-2015,South,"? 1,747.00",27.00%,? 471.69,Tamil Nadu
OD176,Shah,Fruits & Veggies,Organic Fruits,Pudukottai,14-09-2015,South,"? 1,973.00",15.00%,? 848.39,Tamil Nadu
OD177,Mathew,Oil & Masala,Spices,Krishnagiri,21-04-2018,South,"? 2,025.00",24.00%,? 546.75,Tamil Nadu
OD178,Rumaiza,Snacks,Noodles,Vellore,21-11-2016,South,"? 1,016.00",29.00%,? 223.52,Tamil Nadu
OD179,Arvind,Fruits & Veggies,Organic Fruits,Trichy,21-11-2016,South,? 689.00,30.00%,? 55.12,Tamil Nadu
OD180,Krithika,Food Grains,Atta & Flour,Karur,15-12-2016,South,"? 1,322.00",16.00%,? 343.72,Tamil Nadu
OD181,Arvind,Snacks,Cookies,Bodi,05-12-2015,South,"? 1,605.00",25.00%,? 433.35,Tamil Nadu
OD182,Ravi,Beverages,Health Drinks,Namakkal,05-12-2015,South,"? 1,718.00",20.00%,? 171.80,Tamil Nadu
OD183,Jonas,Oil & Masala,Edible Oil & Ghee,Madurai,19-11-2015,South,"? 2,177.00",35.00%,? 783.72,Tamil Nadu
OD184,Surya,Food Grains,Organic Staples,Cumbum,19-11-2015,South,? 578.00,19.00%,? 236.98,Tamil Nadu
OD185,Amrish,Food Grains,Dals & Pulses,Dindigul,19-11-2015,South,? 782.00,28.00%,? 195.50,Tamil Nadu
OD186,Shah,Snacks,Noodles,Chennai,28-11-2017,South,"? 1,388.00",35.00%,? 97.16,Tamil Nadu
OD187,Krithika,Bakery,Cakes,Cumbum,26-08-2015,South,"? 2,264.00",21.00%,? 792.40,Tamil Nadu
OD188,Anu,Beverages,Soft Drinks,Pudukottai,16-07-2017,South,? 813.00,16.00%,? 138.21,Tamil Nadu
OD189,Yusuf,Fruits & Veggies,Organic Fruits,Madurai,16-07-2017,South,"? 2,015.00",24.00%,? 564.20,Tamil Nadu
OD190,Rumaiza,Beverages,Soft Drinks,Vellore,12-10-2016,South,"? 1,433.00",30.00%,? 472.89,Tamil Nadu
OD191,Amrish,Fruits & Veggies,Organic Fruits,Chennai,12-10-2016,South,"? 2,093.00",11.00%,? 334.88,Tamil Nadu
OD192,Muneer,Fruits & Veggies,Fresh Vegetables,Chennai,12-10-2016,South,"? 2,149.00",17.00%,? 623.21,Tamil Nadu
OD193,Anu,Beverages,Health Drinks,Dharmapuri,12-10-2016,South,"? 1,972.00",32.00%,? 414.12,Tamil Nadu
OD194,Suresh,Oil & Masala,Masalas,Dharmapuri,12-10-2016,South,"? 2,060.00",25.00%,? 432.60,Tamil Nadu
OD195,Peer,"Eggs, Meat & Fish",Eggs,Tirunelveli,31-10-2016,South,"? 1,175.00",12.00%,? 340.75,Tamil Nadu
OD196,Sundar,Oil & Masala,Edible Oil & Ghee,Theni,21-03-2015,South,"? 1,006.00",25.00%,? 191.14,Tamil Nadu
OD197,Sudeep,Bakery,Breads & Buns,Karur,21-03-2015,South,"? 1,409.00",16.00%,? 380.43,Tamil Nadu
OD198,Verma,Food Grains,Organic Staples,Pudukottai,06-11-2018,South,? 914.00,34.00%,? 338.18,Tamil Nadu
OD199,Surya,"Eggs, Meat & Fish",Mutton,Tirunelveli,06-07-2018,South,"? 1,352.00",30.00%,? 527.28,Tamil Nadu
OD200,Sudha,"Eggs, Meat & Fish",Eggs,Trichy,06-07-2018,South,? 682.00,25.00%,? 170.50,Tamil Nadu
OD201,James,Food Grains,Organic Staples,Tirunelveli,24-06-2018,South,"? 1,738.00",22.00%,? 243.32,Tamil Nadu
OD202,Vidya,Bakery,Cakes,Salem,03-08-2015,South,"? 2,421.00",25.00%,? 484.20,Tamil Nadu
OD203,Jackson,Food Grains,Organic Staples,Ramanadhapuram,03-08-2015,South,"? 2,245.00",24.00%,? 404.10,Tamil Nadu
OD204,Akash,Oil & Masala,Masalas,Vellore,17-12-2018,South,? 896.00,12.00%,? 295.68,Tamil Nadu
OD205,Ram,Oil & Masala,Spices,Virudhunagar,03-06-2018,South,"? 1,033.00",30.00%,? 185.94,Tamil Nadu
OD206,Vinne,"Eggs, Meat & Fish",Mutton,Madurai,09-12-2018,South,"? 1,998.00",29.00%,? 139.86,Tamil Nadu
OD207,Verma,"Eggs, Meat & Fish",Chicken,Perambalur,01-12-2018,South,"? 1,469.00",15.00%,? 646.36,Tamil Nadu
